,title,director,duration,rating,genre,type
99,Gejaagd door de wind,Victor Fleming,3:58,8.1,"['Drama', 'History', 'Romance']",movie
100,Tôkyô monogatari,Yasujirô Ozu,2:16,8.2,['Drama'],movie
101,On the Waterfront,Elia Kazan,1:48,8.1,"['Crime', 'Drama', 'Thriller']",movie
102,Babam ve Oglum,Cagan Irmak,1:52,8.2,"['Drama', 'Family']",movie
103,Relatos salvajes,Damián Szifron,2:2,8.1,"['Comedy', 'Drama', 'Thriller']",movie
104,Prisoners,Denis Villeneuve,2:33,8.1,"['Crime', 'Drama', 'Mystery']",movie
105,Stalker,Andrei Tarkovsky,2:42,8.1,"['Drama', 'Sci-Fi']",movie
106,The Grand Budapest Hotel,Wes Anderson,1:39,8.1,"['Adventure', 'Comedy', 'Crime']",movie
107,The Deer Hunter,Michael Cimino,3:3,8.1,"['Drama', 'War']",movie
108,The General,Clyde Bruckman,1:7,8.1,"['Action', 'Adventure', 'Comedy']",movie
109,Persona,Ingmar Bergman,1:25,8.1,"['Drama', 'Thriller']",movie
110,Gran Torino,Clint Eastwood,1:56,8.1,['Drama'],movie
111,Sherlock Jr.,Buster Keaton,45,8.2,"['Action', 'Comedy', 'Romance']",movie
112,Before Sunrise,Richard Linklater,1:41,8.1,"['Drama', 'Romance']",movie
113,Mary and Max.,Adam Elliot,1:32,8.1,"['Animation', 'Comedy', 'Drama']",movie
114,Catch Me If You Can,Steven Spielberg,2:21,8.1,"['Biography', 'Crime', 'Drama']",movie
115,Mr. Smith Goes to Washington,Frank Capra,2:9,8.1,"['Comedy', 'Drama']",movie
116,Barry Lyndon,Stanley Kubrick,3:5,8.1,"['Adventure', 'Drama', 'History']",movie
117,In the Name of the Father,Jim Sheridan,2:13,8.1,"['Biography', 'Crime', 'Drama']",movie
118,Dune,Denis Villeneuve,2:35,8.1,"['Action', 'Adventure', 'Drama']",movie
119,Hacksaw Ridge,Mel Gibson,2:19,8.1,"['Biography', 'Drama', 'History']",movie
0,Planet Earth II,-,4:58,9.5,['Documentary'],show
1,Planet Earth,-,8:58,9.4,['Documentary'],show
2,Breaking Bad,-,49,9.4,"['Crime', 'Drama', 'Thriller']",show
3,Band of Brothers,-,9:54,9.4,"['Drama', 'History', 'War']",show
4,Chernobyl,-,5:30,9.4,"['Drama', 'History', 'Thriller']",show
5,The Wire,-,59,9.3,"['Crime', 'Drama', 'Thriller']",show
6,Blue Planet II,-,6:4,9.3,['Documentary'],show
7,Cosmos: A Spacetime Odyssey,-,9:17,9.3,['Documentary'],show
8,Our Planet,-,6:43,9.3,['Documentary'],show
9,Avatar: The Last Airbender,-,23,9.3,"['Animation', 'Action', 'Adventure']",show
10,Cosmos,-,13,9.3,['Documentary'],show
11,The Sopranos,-,55,9.2,"['Crime', 'Drama']",show
12,Game of Thrones,-,57,9.2,"['Action', 'Adventure', 'Drama']",show
13,Rick and Morty,-,23,9.2,"['Animation', 'Adventure', 'Comedy']",show
14,The World at War,-,52,9.2,"['Documentary', 'History', 'War']",show
15,The Last Dance,-,8:11,9.1,"['Documentary', 'Biography', 'History']",show
16,Life,-,7:53,9.1,['Documentary'],show
17,Hagane no renkinjutsushi,-,24,9.1,"['Animation', 'Action', 'Adventure']",show
18,Sherlock,-,1:28,9.1,"['Crime', 'Drama', 'Mystery']",show
19,Arcane,-,41,9.1,"['Animation', 'Action', 'Adventure']",show
20,The Vietnam War,-,16:30,9.1,"['Documentary', 'History', 'War']",show
21,Scam 1992: The Harshad Mehta Story,-,54,9.5,"['Biography', 'Crime', 'Drama']",show
22,The Beatles: Get Back,-,7:48,9.1,"['Documentary', 'Music']",show
23,The Twilight Zone,-,51,9.0,"['Drama', 'Fantasy', 'Horror']",show
24,The Blue Planet,-,6:29,9.0,['Documentary'],show
25,Batman: The Animated Series,-,23,9.0,"['Animation', 'Action', 'Adventure']",show
26,Human Planet,-,50,9.0,['Documentary'],show
27,Firefly,-,44,9.0,"['Adventure', 'Drama', 'Sci-Fi']",show
28,Frozen Planet,-,5:33,9.0,['Documentary'],show
29,Sahsiyet,-,1:5,9.1,"['Crime', 'Drama', 'Mystery']",show
30,Clarkson's Farm,-,45,9.1,"['Documentary', 'Reality-TV']",show
31,Death Note: Desu nôto,-,24,9.0,"['Animation', 'Crime', 'Drama']",show
32,Dekalog,-,9:32,9.0,['Drama'],show
33,True Detective,-,55,8.9,"['Crime', 'Drama', 'Mystery']",show
34,Attack on Titan,-,24,9.0,"['Animation', 'Action', 'Adventure']",show
35,Kaubôi bibappu,-,24,8.9,"['Animation', 'Action', 'Adventure']",show
36,The Civil War,-,11:20,9.0,"['Documentary', 'History', 'War']",show
37,Hunter x Hunter,-,24,9.0,"['Animation', 'Action', 'Adventure']",show
38,Fargo,-,53,8.9,"['Crime', 'Drama', 'Thriller']",show
39,The Office,-,22,8.9,['Comedy'],show
40,When They See Us,-,4:56,8.9,"['Biography', 'Crime', 'Drama']",show
41,Africa,-,6,8.9,['Documentary'],show
42,Apocalypse: La 2ème guerre mondiale,-,5:12,9.0,"['Documentary', 'History', 'War']",show
43,Only Fools and Horses....,-,1:35,8.9,['Comedy'],show
44,TVF Pitchers,-,40,9.1,"['Comedy', 'Drama']",show
45,Last Week Tonight with John Oliver,-,30,8.8,"['Comedy', 'History', 'News']",show
46,Gravity Falls,-,23,8.9,"['Animation', 'Action', 'Adventure']",show
47,Seinfeld,-,22,8.8,['Comedy'],show
48,Das Boot,-,4:53,8.8,"['Drama', 'War']",show
49,Nathan for You,-,30,8.9,"['Documentary', 'Comedy']",show
50,Monty Python's Flying Circus,-,30,8.8,['Comedy'],show
51,1883,-,1,9.1,"['Drama', 'Western']",show
52,Friends,-,22,8.8,"['Comedy', 'Romance']",show
53,Pride and Prejudice,-,5:27,8.8,"['Drama', 'Romance']",show
54,Black Mirror,-,1,8.8,"['Drama', 'Sci-Fi', 'Thriller']",show
