,title,director,duration,rating,genre,type,cleaned_title,disney+,netflix,hbo
211,The Thick of It,-,29,8.7,['Comedy'],show,the thick of it,No,No,No
212,Battlestar Galactica,-,44,8.7,"['Action', 'Adventure', 'Drama']",show,battlestar galactica,No,No,No
213,Justice League Unlimited,-,23,8.7,"['Animation', 'Action', 'Adventure']",show,justice league unlimited,No,No,No
214,House of Cards,-,51,8.7,['Drama'],show,house of cards,No,No,No
215,House M.D.,-,44,8.7,"['Drama', 'Mystery']",show,house m.d.,No,No,No
216,One Piece: Stampede,-,24,8.7,"['Animation', 'Action', 'Adventure']",show,one piece stampede,No,No,No
217,Kenpû Denki Berserk,-,23,8.7,"['Animation', 'Action', 'Adventure']",show,kenpû denki berserk,No,No,No
218,The Shield,-,47,8.7,"['Crime', 'Drama', 'Thriller']",show,the shield,No,No,No
219,The Simpsons,-,22,8.6,"['Animation', 'Comedy']",show,the simpsons,Yes,No,No
220,Mahabharat,-,45,8.9,"['Adventure', 'Drama', 'History']",show,mahabharat,No,No,No
221,The Crown,-,58,8.6,"['Biography', 'Drama', 'History']",show,the crown,No,No,No
222,The Return of Sherlock Holmes,-,1,8.7,"['Crime', 'Drama', 'Mystery']",show,the return of sherlock holmes,No,No,No
223,The Jinx: The Life and Deaths of Robert Durst,-,4:39,8.6,"['Documentary', 'Crime', 'Mystery']",show,the jinx the life and deaths of robert durst,No,No,Yes
224,Downton Abbey,-,58,8.7,"['Drama', 'Romance']",show,downton abbey,No,No,No
225,Line of Duty,-,1,8.7,"['Crime', 'Drama', 'Mystery']",show,line of duty,No,No,No
226,The Grand Tour,-,1,8.7,"['Comedy', 'Talk-Show']",show,the grand tour,No,No,No
227,Ramayan,-,30,9.0,"['Adventure', 'Drama', 'Family']",show,ramayan,No,No,No
228,It's a Sin,-,3:59,8.7,"['Comedy', 'Drama', 'History']",show,its a sin,No,No,Yes
229,Star Trek: The Next Generation,-,44,8.6,"['Action', 'Adventure', 'Sci-Fi']",show,star trek the next generation,No,No,No
230,Deadwood,-,55,8.6,"['Crime', 'Drama', 'History']",show,deadwood,No,No,Yes
231,Top Gear,-,1,8.6,"['Adventure', 'Comedy', 'Reality-TV']",show,top gear,No,No,No
232,Atlanta,-,30,8.6,"['Comedy', 'Drama', 'Music']",show,atlanta,No,No,Yes
233,Dopesick,-,8:12,8.7,['Drama'],show,dopesick,No,No,No
234,Lonesome Dove,-,6:24,8.7,"['Adventure', 'Drama', 'Western']",show,lonesome dove,No,No,No
235,Young Justice,-,23,8.7,"['Animation', 'Action', 'Adventure']",show,young justice,No,No,No
236,Haikyuu!!,-,24,8.7,"['Animation', 'Comedy', 'Drama']",show,haikyuu,No,No,No
237,Sarabhai V/S Sarabhai,-,30,8.8,['Comedy'],show,sarabhai v/s sarabhai,No,No,No
238,Mad Men,-,47,8.6,['Drama'],show,mad men,No,No,No
239,Bron/Broen,-,1,8.6,"['Crime', 'Mystery', 'Thriller']",show,bron/broen,No,No,No
240,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,-,24,8.7,"['Animation', 'Action', 'Drama']",show,kôdo giasu - hangyaku no rurûshu code geass - lelouch of the rebellion,No,No,No
241,Formula 1: Drive to Survive,-,40,8.6,"['Documentary', 'Sport']",show,formula 1 drive to survive,No,No,No
242,Blackadder II,-,2:56,8.6,['Comedy'],show,blackadder ii,No,No,No
243,Monster,-,24,8.7,"['Animation', 'Crime', 'Drama']",show,monster,Yes,Yes,Yes
244,Peep Show,-,25,8.6,['Comedy'],show,peep show,No,No,No
245,The X Files,-,45,8.6,"['Crime', 'Drama', 'Mystery']",show,the x files,No,No,No
246,Parks and Recreation,-,22,8.6,['Comedy'],show,parks and recreation,No,No,No
247,Yellowstone,-,1,8.8,"['Drama', 'Western']",show,yellowstone,Yes,No,No
248,Gomorra: La serie,-,55,8.7,"['Crime', 'Drama', 'Thriller']",show,gomorra la serie,No,No,No
249,Friday Night Lights,-,44,8.6,"['Drama', 'Sport']",show,friday night lights,No,Yes,No
250,Mindhunter,-,1,8.6,"['Crime', 'Drama', 'Thriller']",show,mindhunter,No,No,No
251,Le Bureau des Légendes,-,52,8.7,"['Drama', 'Thriller']",show,le bureau des légendes,No,No,No
252,Father Ted,-,25,8.6,['Comedy'],show,father ted,No,No,No
