,title,director,duration,genre
223,Les quatre cents coups,François Truffaut,1:39,"['Crime', 'Drama']"
224,Platoon,Oliver Stone,2,"['Drama', 'War']"
225,Spotlight,Tom McCarthy,2:9,"['Biography', 'Crime', 'Drama']"
226,"Monsters, Inc.",Pete Docter,1:32,"['Animation', 'Adventure', 'Comedy']"
227,Rebecca,Alfred Hitchcock,2:10,"['Drama', 'Film-Noir', 'Mystery']"
228,Monty Python's Life of Brian,Terry Jones,1:34,['Comedy']
229,Fa yeung nin wah,Kar-Wai Wong,1:38,"['Drama', 'Romance']"
230,Eskiya,Yavuz Turgul,2:8,"['Crime', 'Drama', 'Thriller']"
231,Hotel Rwanda,Terry George,2:1,"['Biography', 'Drama', 'History']"
232,Rush,Ron Howard,2:3,"['Action', 'Biography', 'Drama']"
233,Rocky,John G. Avildsen,2,"['Drama', 'Sport']"
234,Amores perros,Alejandro G. Iñárritu,2:34,"['Drama', 'Thriller']"
235,Into the Wild,Sean Penn,2:28,"['Adventure', 'Biography', 'Drama']"
236,Kaze no tani no Naushika,Hayao Miyazaki,1:57,"['Animation', 'Adventure', 'Sci-Fi']"
237,Drishyam,Jeethu Joseph,2:40,"['Crime', 'Drama', 'Thriller']"
238,Before Sunset,Richard Linklater,1:20,"['Drama', 'Romance']"
239,Het gebeurde op 'n avond,Frank Capra,1:45,"['Comedy', 'Romance']"
240,Kimetsu no Yaiba: Mugen Ressha-Hen,Haruo Sotozaki,1:57,"['Animation', 'Action', 'Adventure']"
